kode_negara,tahun,produksi
NZL,Tahun 1995,1656.719
NZL,Tahun 1996,2194.822
NZL,Tahun 1997,2902.948
NZL,Tahun 1998,2300.445
NZL,Tahun 1999,1883.466
NZL,Tahun 2000,1681.292
NZL,Tahun 2001,1575.327
NZL,Tahun 2002,1428.163
NZL,Tahun 2003,1110.776
NZL,Tahun 2004,959.685
NZL,Tahun 2005,885.6
NZL,Tahun 2006,878.118
NZL,Tahun 2007,1959.155
NZL,Tahun 2008,2839.03
NZL,Tahun 2009,2683.494
NZL,Tahun 2010,2574.596
NZL,Tahun 2011,2204.631
NZL,Tahun 2012,1925.318
NZL,Tahun 2013,1650.557
NZL,Tahun 2014,1838.825
NZL,Tahun 2015,1928.169
NOR,Tahun 1971,287.213
NOR,Tahun 1972,1545.628
NOR,Tahun 1973,1506.846
NOR,Tahun 1974,1672.892
NOR,Tahun 1975,9071.181
NOR,Tahun 1976,13684.66
NOR,Tahun 1977,13719.342
NOR,Tahun 1978,16174.119
NOR,Tahun 1979,17839.546
NOR,Tahun 1980,23064.361
NOR,Tahun 1981,22411.739
NOR,Tahun 1982,23346.468
NOR,Tahun 1983,29770.302
NOR,Tahun 1984,34753.833
NOR,Tahun 1985,37921.934
NOR,Tahun 1986,39375.024
NOR,Tahun 1987,48962.496
NOR,Tahun 1988,56392.028
NOR,Tahun 1989,72620.943
NOR,Tahun 1990,81122.385
NOR,Tahun 1991,94425.608
NOR,Tahun 1992,107652.488
NOR,Tahun 1993,115703.757
NOR,Tahun 1994,128379.033
NOR,Tahun 1995,140886.78
NOR,Tahun 1996,156659.457
NOR,Tahun 1997,157225.84
NOR,Tahun 1998,149859.6
NOR,Tahun 1999,150120.615
NOR,Tahun 2000,164121.159
NOR,Tahun 2001,158958.377
NOR,Tahun 2002,155340.067
NOR,Tahun 2003,149237.163
NOR,Tahun 2004,138970.081
NOR,Tahun 2005,126334.158
NOR,Tahun 2006,116432.119
NOR,Tahun 2007,112513.401
NOR,Tahun 2008,107727.794
NOR,Tahun 2009,101051.044
NOR,Tahun 2010,90682.912
NOR,Tahun 2011,87348.033
NOR,Tahun 2012,77727.833
NOR,Tahun 2013,74792.156
NOR,Tahun 2014,76923.953
NOR,Tahun 2015,78400.621
POL,Tahun 1971,396.245
POL,Tahun 1972,348.094
POL,Tahun 1973,393.236
POL,Tahun 1974,550.731
POL,Tahun 1975,554.743
POL,Tahun 1976,456.435
POL,Tahun 1977,365.148
POL,Tahun 1978,364.144
POL,Tahun 1979,332.044
POL,Tahun 1980,330.037
POL,Tahun 1981,315.993
POL,Tahun 1982,241.76
POL,Tahun 1983,210.662
POL,Tahun 1984,189.596
POL,Tahun 1985,195.615
POL,Tahun 1986,166.091
POL,Tahun 1987,147.972
POL,Tahun 1988,157.113
POL,Tahun 1989,154.773
POL,Tahun 1990,157.971
POL,Tahun 1991,158.211
POL,Tahun 1992,199.245
POL,Tahun 1993,233.844
POL,Tahun 1994,282.514
POL,Tahun 1995,290.501
POL,Tahun 1996,321.709
POL,Tahun 1997,293.293
POL,Tahun 1998,365.348
POL,Tahun 1999,440.448
POL,Tahun 2000,661.297
POL,Tahun 2001,779.897
POL,Tahun 2002,738.815
POL,Tahun 2003,766.498
POL,Tahun 2004,890.486
POL,Tahun 2005,845.833
POL,Tahun 2006,810.487
POL,Tahun 2007,730.747
POL,Tahun 2008,770.779
POL,Tahun 2009,692.825
POL,Tahun 2010,697.485
POL,Tahun 2011,626.653
POL,Tahun 2012,691.589
POL,Tahun 2013,981.967
POL,Tahun 2014,969.626
POL,Tahun 2015,946.175
PRT,Tahun 1971,0
PRT,Tahun 1972,0
PRT,Tahun 1973,0
PRT,Tahun 1974,0
PRT,Tahun 1975,0
PRT,Tahun 1976,0
PRT,Tahun 1977,0
PRT,Tahun 1978,0
PRT,Tahun 1979,0
PRT,Tahun 1980,0
PRT,Tahun 1981,0
PRT,Tahun 1982,0
PRT,Tahun 1983,0
PRT,Tahun 1984,0
PRT,Tahun 1985,0
PRT,Tahun 1986,0
PRT,Tahun 1987,0
PRT,Tahun 1988,0
PRT,Tahun 1989,0
PRT,Tahun 1990,0
PRT,Tahun 1991,0
PRT,Tahun 1992,0
PRT,Tahun 1993,0
PRT,Tahun 1994,0
PRT,Tahun 1995,0
PRT,Tahun 1996,0
PRT,Tahun 1997,0
PRT,Tahun 1998,0
PRT,Tahun 1999,0
PRT,Tahun 2000,0
PRT,Tahun 2001,0
PRT,Tahun 2002,0
PRT,Tahun 2003,0
PRT,Tahun 2004,0
PRT,Tahun 2005,0
PRT,Tahun 2006,0
PRT,Tahun 2007,0
PRT,Tahun 2008,0
PRT,Tahun 2009,0
PRT,Tahun 2010,0
PRT,Tahun 2011,0
PRT,Tahun 2012,0
PRT,Tahun 2013,0
PRT,Tahun 2014,0
PRT,Tahun 2015,0
SVK,Tahun 1971,158.666
SVK,Tahun 1972,151.681
SVK,Tahun 1973,127.731
SVK,Tahun 1974,103.781
SVK,Tahun 1975,93.802
SVK,Tahun 1976,79.832
SVK,Tahun 1977,68.855
SVK,Tahun 1978,60.872
SVK,Tahun 1979,51.891
SVK,Tahun 1980,41.912
SVK,Tahun 1981,38.918
SVK,Tahun 1982,34.926
SVK,Tahun 1983,36.922
SVK,Tahun 1984,34.926
SVK,Tahun 1985,65.861
SVK,Tahun 1986,86.817
SVK,Tahun 1987,95.798
SVK,Tahun 1988,97.794
SVK,Tahun 1989,96.796
SVK,Tahun 1990,72.657
SVK,Tahun 1991,71.128
SVK,Tahun 1992,72.613
SVK,Tahun 1993,66.645
SVK,Tahun 1994,66.645
SVK,Tahun 1995,73.608
SVK,Tahun 1996,70.624
SVK,Tahun 1997,63.661
SVK,Tahun 1998,59.682
SVK,Tahun 1999,65.352
SVK,Tahun 2000,58.586
SVK,Tahun 2001,45.76
SVK,Tahun 2002,43.771
SVK,Tahun 2003,41.781
SVK,Tahun 2004,37.666
SVK,Tahun 2005,30.505
SVK,Tahun 2006,27.754
SVK,Tahun 2007,21.702
SVK,Tahun 2008,17.713
SVK,Tahun 2009,14.761
SVK,Tahun 2010,12.793
SVK,Tahun 2011,14.761
SVK,Tahun 2012,10.824
SVK,Tahun 2013,9.84
SVK,Tahun 2014,8.856
SVK,Tahun 2015,8.856
ESP,Tahun 1971,127.38
ESP,Tahun 1972,142.665
ESP,Tahun 1973,666.45
ESP,Tahun 1974,1928.016
ESP,Tahun 1975,2066.605
ESP,Tahun 1976,1536.706
ESP,Tahun 1977,860.066
ESP,Tahun 1978,998.655
ESP,Tahun 1979,1142.339
ESP,Tahun 1980,1632.496
ESP,Tahun 1981,1249.338
ESP,Tahun 1982,1560.144
ESP,Tahun 1983,3033.67
ESP,Tahun 1984,2360.087
ESP,Tahun 1985,2224.556
ESP,Tahun 1986,1895.407
ESP,Tahun 1987,1671.219
ESP,Tahun 1988,1508.173
ESP,Tahun 1989,1057.759
ESP,Tahun 1990,810.134
ESP,Tahun 1991,1087.311
ESP,Tahun 1992,1093.426
ESP,Tahun 1993,890.637
ESP,Tahun 1994,822.362
ESP,Tahun 1995,664.411
ESP,Tahun 1996,521.746
ESP,Tahun 1997,378.062
ESP,Tahun 1998,539.07
ESP,Tahun 1999,304.692
ESP,Tahun 2000,231.321
ESP,Tahun 2001,344.434
ESP,Tahun 2002,322.015
ESP,Tahun 2003,328.13
ESP,Tahun 2004,259.854
ESP,Tahun 2005,169.16
ESP,Tahun 2006,141.646
ESP,Tahun 2007,144.703
ESP,Tahun 2008,129.418
ESP,Tahun 2009,106.999
ESP,Tahun 2010,125.341
ESP,Tahun 2011,101.904
ESP,Tahun 2012,144.703
ESP,Tahun 2013,375.005
ESP,Tahun 2014,310.806
ESP,Tahun 2015,236.416
SWE,Tahun 1971,0
SWE,Tahun 1972,0
SWE,Tahun 1973,0
SWE,Tahun 1974,0
SWE,Tahun 1975,0
SWE,Tahun 1976,3.021
SWE,Tahun 1977,1.007
SWE,Tahun 1978,1.007
SWE,Tahun 1979,1.007
SWE,Tahun 1980,25.175
SWE,Tahun 1981,6.042
SWE,Tahun 1982,14.098
SWE,Tahun 1983,23.161
SWE,Tahun 1984,13.091
SWE,Tahun 1985,8.056
SWE,Tahun 1986,4.028
SWE,Tahun 1987,4.028
SWE,Tahun 1988,3.021
SWE,Tahun 1989,3.021
SWE,Tahun 1990,3.021
SWE,Tahun 1991,2.014
SWE,Tahun 1992,1.007
SWE,Tahun 1993,0
SWE,Tahun 1994,5.035
SWE,Tahun 1995,4.028
SWE,Tahun 1996,0
SWE,Tahun 1997,0
SWE,Tahun 1998,0
SWE,Tahun 1999,0
SWE,Tahun 2000,0
SWE,Tahun 2001,0
SWE,Tahun 2002,0
SWE,Tahun 2003,0
SWE,Tahun 2004,0
SWE,Tahun 2005,0
SWE,Tahun 2006,0
SWE,Tahun 2007,0
SWE,Tahun 2008,0
SWE,Tahun 2009,0
SWE,Tahun 2010,0
SWE,Tahun 2011,0
SWE,Tahun 2012,0
SWE,Tahun 2013,0
SWE,Tahun 2014,0
SWE,Tahun 2015,0
CHE,Tahun 1971,0
CHE,Tahun 1972,0
CHE,Tahun 1973,0
CHE,Tahun 1974,0
CHE,Tahun 1975,0
CHE,Tahun 1976,0
CHE,Tahun 1977,0
CHE,Tahun 1978,0
CHE,Tahun 1979,0
CHE,Tahun 1980,0
CHE,Tahun 1981,0
CHE,Tahun 1982,0
CHE,Tahun 1983,0
CHE,Tahun 1984,0
CHE,Tahun 1985,0
CHE,Tahun 1986,0
CHE,Tahun 1987,0
CHE,Tahun 1988,0
CHE,Tahun 1989,0
CHE,Tahun 1990,0
CHE,Tahun 1991,0
CHE,Tahun 1992,0
CHE,Tahun 1993,0
CHE,Tahun 1994,0
CHE,Tahun 1995,0
CHE,Tahun 1996,0
CHE,Tahun 1997,0
CHE,Tahun 1998,0
CHE,Tahun 1999,0
CHE,Tahun 2000,0
CHE,Tahun 2001,0
CHE,Tahun 2002,0
CHE,Tahun 2003,0
CHE,Tahun 2004,0
CHE,Tahun 2005,0
CHE,Tahun 2006,0
CHE,Tahun 2007,0
CHE,Tahun 2008,0
CHE,Tahun 2009,0
CHE,Tahun 2010,0
CHE,Tahun 2011,0
CHE,Tahun 2012,0
CHE,Tahun 2013,0
CHE,Tahun 2014,0
CHE,Tahun 2015,0
TUR,Tahun 1971,3528.843
TUR,Tahun 1972,3463.418
TUR,Tahun 1973,3589.156
TUR,Tahun 1974,3382.66
TUR,Tahun 1975,3164.918
TUR,Tahun 1976,2652.766
TUR,Tahun 1977,2661.966
TUR,Tahun 1978,2796.905
TUR,Tahun 1979,2885.841
TUR,Tahun 1980,2268.06
TUR,Tahun 1981,2297.53
TUR,Tahun 1982,2315.447
TUR,Tahun 1983,2229.414
TUR,Tahun 1984,2097.817
TUR,Tahun 1985,2111.361
TUR,Tahun 1986,2373.816
TUR,Tahun 1987,2595.502
TUR,Tahun 1988,2556.115
TUR,Tahun 1989,2815.894
TUR,Tahun 1990,3613.322
TUR,Tahun 1991,4158.871
TUR,Tahun 1992,4075.007
TUR,Tahun 1993,3709.057
TUR,Tahun 1994,3652.391
TUR,Tahun 1995,3474.179
TUR,Tahun 1996,3458.369
TUR,Tahun 1997,3407.976
TUR,Tahun 1998,3184.664
TUR,Tahun 1999,2906.018
TUR,Tahun 2000,2729.147
TUR,Tahun 2001,2490.026
TUR,Tahun 2002,2391.215
TUR,Tahun 2003,2323.036
TUR,Tahun 2004,2224.225
TUR,Tahun 2005,2231.142
TUR,Tahun 2006,2134.308
TUR,Tahun 2007,2108.617
TUR,Tahun 2008,2134.308
TUR,Tahun 2009,2373.429
TUR,Tahun 2010,2650.269
TUR,Tahun 2011,2503.988
TUR,Tahun 2012,2470.849
TUR,Tahun 2013,2538.924
TUR,Tahun 2014,2609.657
TUR,Tahun 2015,2663.65
GBR,Tahun 1971,97.337
GBR,Tahun 1972,192.625
GBR,Tahun 1973,236.683
GBR,Tahun 1974,244.88
GBR,Tahun 1975,1606.575
GBR,Tahun 1976,12358.739
GBR,Tahun 1977,38734.021
GBR,Tahun 1978,54790.545
GBR,Tahun 1979,79013.141
GBR,Tahun 1980,80858.447
GBR,Tahun 1981,90109.571
GBR,Tahun 1982,102778.764
GBR,Tahun 1983,113565.764
GBR,Tahun 1984,124161.165
GBR,Tahun 1985,126681.561
GBR,Tahun 1986,125384.671
GBR,Tahun 1987,121635.686
GBR,Tahun 1988,113198.66
GBR,Tahun 1989,90605.326
GBR,Tahun 1990,91209.659
GBR,Tahun 1991,90008.25
GBR,Tahun 1992,92657.296
GBR,Tahun 1993,97688.433
GBR,Tahun 1994,123794.076
GBR,Tahun 1995,126849.842
GBR,Tahun 1996,126991.487
GBR,Tahun 1997,124766.796
GBR,Tahun 1998,128811.936
GBR,Tahun 1999,133001.212
GBR,Tahun 2000,122237.676
GBR,Tahun 2001,112391.841
GBR,Tahun 2002,111399.481
GBR,Tahun 2003,101449.95
GBR,Tahun 2004,90749.669
GBR,Tahun 2005,80030.722
GBR,Tahun 2006,72239.084
GBR,Tahun 2007,72882.713
GBR,Tahun 2008,67848.247
GBR,Tahun 2009,65075.146
GBR,Tahun 2010,60130.802
GBR,Tahun 2011,50314.628
GBR,Tahun 2012,43561.605
GBR,Tahun 2013,39836.514
GBR,Tahun 2014,38819.262
GBR,Tahun 2015,44363.391
USA,Tahun 1971,482149.55
USA,Tahun 1972,481457.683
USA,Tahun 1973,466807.847
USA,Tahun 1974,445546.611
USA,Tahun 1975,424232.79
USA,Tahun 1976,413687.754
USA,Tahun 1977,418286.45
USA,Tahun 1978,441770.732
USA,Tahun 1979,433860.15
USA,Tahun 1980,437343.198
USA,Tahun 1981,434876.812
USA,Tahun 1982,438781.579
USA,Tahun 1983,440767.473
USA,Tahun 1984,452804.508
USA,Tahun 1985,456267.966
USA,Tahun 1986,442489.072
USA,Tahun 1987,425489.688
USA,Tahun 1988,415979.499
USA,Tahun 1989,388003.681
USA,Tahun 1990,374866.67
USA,Tahun 1991,377987.15
USA,Tahun 1992,366480.641
USA,Tahun 1993,348942.928
USA,Tahun 1994,339510.195
USA,Tahun 1995,334314.908
USA,Tahun 1996,330369.878
USA,Tahun 1997,328807.572
USA,Tahun 1998,318626.75
USA,Tahun 1999,299750.952
USA,Tahun 2000,297512.886
USA,Tahun 2001,295670.563
USA,Tahun 2002,292823.901
USA,Tahun 2003,289518.467
USA,Tahun 2004,276931.156
USA,Tahun 2005,263918.138
USA,Tahun 2006,260029.939
USA,Tahun 2007,258101.855
USA,Tahun 2008,252986.129
USA,Tahun 2009,273202.08
USA,Tahun 2010,279225.018
USA,Tahun 2011,288542.025
USA,Tahun 2012,330942.31
USA,Tahun 2013,379905.934
USA,Tahun 2014,443927.42
USA,Tahun 2015,480639.547
OEU,Tahun 1971,21790.692
OEU,Tahun 1972,22010.531
OEU,Tahun 1973,21870.784
OEU,Tahun 1974,22281.275
OEU,Tahun 1975,30278.914
OEU,Tahun 1976,44309.534
OEU,Tahun 1977,69980.864
OEU,Tahun 1978,88831.012
OEU,Tahun 1979,114528.192
OEU,Tahun 1980,121259.332
OEU,Tahun 1981,129789.385
OEU,Tahun 1982,145686.557
OEU,Tahun 1983,166178.163
OEU,Tahun 1984,181981.215
OEU,Tahun 1985,189457.687
OEU,Tahun 1986,191562.3
OEU,Tahun 1987,199092.219
OEU,Tahun 1988,198890.406
OEU,Tahun 1989,191904.331
OEU,Tahun 1990,201732.497
OEU,Tahun 1991,214778.294
OEU,Tahun 1992,230639.838
OEU,Tahun 1993,243108.11
OEU,Tahun 1994,283450.471
OEU,Tahun 1995,298295.436
OEU,Tahun 1996,314127.401
OEU,Tahun 1997,313138.764
OEU,Tahun 1998,309267.03
OEU,Tahun 1999,315094.943
OEU,Tahun 2000,321508.155
OEU,Tahun 2001,304918.77
OEU,Tahun 2002,304008.389
OEU,Tahun 2003,288159.998
OEU,Tahun 2004,267656.434
OEU,Tahun 2005,243122.506
OEU,Tahun 2006,222840.952
OEU,Tahun 2007,218384.295
OEU,Tahun 2008,206083.883
OEU,Tahun 2009,194174.522
OEU,Tahun 2010,178245.193
OEU,Tahun 2011,163874.75
OEU,Tahun 2012,146593.544
OEU,Tahun 2013,139255.65
OEU,Tahun 2014,140261.394
OEU,Tahun 2015,146334.972
ALB,Tahun 1971,1657
ALB,Tahun 1972,2150
ALB,Tahun 1973,2107
ALB,Tahun 1974,1770
ALB,Tahun 1975,1850
ALB,Tahun 1976,1950
ALB,Tahun 1977,2000
ALB,Tahun 1978,2200
ALB,Tahun 1979,2000
ALB,Tahun 1980,2000
ALB,Tahun 1981,1200
ALB,Tahun 1982,1100
ALB,Tahun 1983,1200
ALB,Tahun 1984,1388
ALB,Tahun 1985,1188
ALB,Tahun 1986,1205
ALB,Tahun 1987,1182
ALB,Tahun 1988,1167
ALB,Tahun 1989,1128
ALB,Tahun 1990,1067
ALB,Tahun 1991,845
ALB,Tahun 1992,585
ALB,Tahun 1993,568
ALB,Tahun 1994,535
ALB,Tahun 1995,521
ALB,Tahun 1996,489
ALB,Tahun 1997,360
ALB,Tahun 1998,365
ALB,Tahun 1999,328
ALB,Tahun 2000,314
ALB,Tahun 2001,308
ALB,Tahun 2002,371
ALB,Tahun 2003,360
ALB,Tahun 2004,443
ALB,Tahun 2005,418
ALB,Tahun 2006,500
ALB,Tahun 2007,564
ALB,Tahun 2008,578
ALB,Tahun 2009,577
ALB,Tahun 2010,744
ALB,Tahun 2011,895
ALB,Tahun 2012,1031
ALB,Tahun 2013,1207
ALB,Tahun 2014,1368
ALB,Tahun 2015,1425
DZA,Tahun 1971,38101.314
DZA,Tahun 1972,50630.587
DZA,Tahun 1973,50938.683
DZA,Tahun 1974,47138.822
DZA,Tahun 1975,45392.94
DZA,Tahun 1976,49192.801
DZA,Tahun 1977,53095.362
DZA,Tahun 1978,55765.535
DZA,Tahun 1979,54122.351
DZA,Tahun 1980,48285.641
DZA,Tahun 1981,38652.527
DZA,Tahun 1982,34538.574
DZA,Tahun 1983,32301.767
DZA,Tahun 1984,33713.772
DZA,Tahun 1985,35363.375
DZA,Tahun 1986,35726.288
DZA,Tahun 1987,33866.984
DZA,Tahun 1988,33597.107
DZA,Tahun 1989,34965.104
DZA,Tahun 1990,36519.224
DZA,Tahun 1991,36087.007
DZA,Tahun 1992,36146.979
DZA,Tahun 1993,36380.666
DZA,Tahun 1994,36660.883
DZA,Tahun 1995,37128.257
DZA,Tahun 1996,39301.749
DZA,Tahun 1997,39493.041
DZA,Tahun 1998,40429.856
DZA,Tahun 1999,42058.424
DZA,Tahun 2000,43754.203
DZA,Tahun 2001,42831.865
DZA,Tahun 2002,47971.937
DZA,Tahun 2003,57576.871
DZA,Tahun 2004,62199.937
DZA,Tahun 2005,65346.435
DZA,Tahun 2006,66037.154
DZA,Tahun 2007,66264.637
DZA,Tahun 2008,63679.608
DZA,Tahun 2009,59054.474
DZA,Tahun 2010,57588.245
DZA,Tahun 2011,56392.928
DZA,Tahun 2012,52799.737
DZA,Tahun 2013,51260.094
DZA,Tahun 2014,52532.962
DZA,Tahun 2015,52111.085
ARG,Tahun 1971,21908.076
ARG,Tahun 1972,22467.62
ARG,Tahun 1973,21796.975
ARG,Tahun 1974,21423.272
ARG,Tahun 1975,20483.965
ARG,Tahun 1976,20643.546
ARG,Tahun 1977,22338.339
ARG,Tahun 1978,23415.007
ARG,Tahun 1979,24466.425
ARG,Tahun 1980,25476.433
ARG,Tahun 1981,25730.955
ARG,Tahun 1982,25390.582
ARG,Tahun 1983,25394.622
ARG,Tahun 1984,24828.008
ARG,Tahun 1985,23789.72
ARG,Tahun 1986,22283
ARG,Tahun 1987,21999
ARG,Tahun 1988,23119
ARG,Tahun 1989,23641
ARG,Tahun 1990,24741
ARG,Tahun 1991,25330
ARG,Tahun 1992,28553
ARG,Tahun 1993,30486
ARG,Tahun 1994,34278
ARG,Tahun 1995,36939
ARG,Tahun 1996,40311
ARG,Tahun 1997,42837
ARG,Tahun 1998,43513
ARG,Tahun 1999,41045
ARG,Tahun 2000,39530
ARG,Tahun 2001,40089
ARG,Tahun 2002,38744
ARG,Tahun 2003,37079
ARG,Tahun 2004,35551
ARG,Tahun 2005,33934
ARG,Tahun 2006,33850
ARG,Tahun 2007,32945
ARG,Tahun 2008,32323
ARG,Tahun 2009,32002
ARG,Tahun 2010,31274
ARG,Tahun 2011,29861
ARG,Tahun 2012,28324
ARG,Tahun 2013,26978
ARG,Tahun 2014,28664
ARG,Tahun 2015,28664
ARM,Tahun 1990,0
ARM,Tahun 1991,0
ARM,Tahun 1992,0
ARM,Tahun 1993,0
ARM,Tahun 1994,0
ARM,Tahun 1995,0
ARM,Tahun 1996,0
ARM,Tahun 1997,0
ARM,Tahun 1998,0
ARM,Tahun 1999,0
ARM,Tahun 2000,0
ARM,Tahun 2001,0
ARM,Tahun 2002,0
ARM,Tahun 2003,0
ARM,Tahun 2004,0
ARM,Tahun 2005,0
ARM,Tahun 2006,0
ARM,Tahun 2007,0
ARM,Tahun 2008,0
ARM,Tahun 2009,0
ARM,Tahun 2010,0
ARM,Tahun 2011,0
ARM,Tahun 2012,0
ARM,Tahun 2013,0
ARM,Tahun 2014,0
ARM,Tahun 2015,0
AZE,Tahun 1990,12061.913
AZE,Tahun 1991,11330.278
AZE,Tahun 1992,10749.393
AZE,Tahun 1993,10020.774
AZE,Tahun 1994,9354.464
AZE,Tahun 1995,8990.657
AZE,Tahun 1996,8934.378
AZE,Tahun 1997,8912.268
AZE,Tahun 1998,11303.144
AZE,Tahun 1999,13719.144
AZE,Tahun 2000,13938.232
AZE,Tahun 2001,14852.775
AZE,Tahun 2002,15283.916
AZE,Tahun 2003,15327.131
AZE,Tahun 2004,15424.615
AZE,Tahun 2005,22103.791
AZE,Tahun 2006,32145.67
AZE,Tahun 2007,41548.374
AZE,Tahun 2008,42400.607
AZE,Tahun 2009,48595.377
AZE,Tahun 2010,48823.51
AZE,Tahun 2011,43661.872
AZE,Tahun 2012,41219.742
AZE,Tahun 2013,40929.299
AZE,Tahun 2014,39639.895
AZE,Tahun 2015,39040.92
BGD,Tahun 1971,0
BGD,Tahun 1972,0
BGD,Tahun 1973,5.035
BGD,Tahun 1974,5.035
BGD,Tahun 1975,5.035
BGD,Tahun 1976,7.049
BGD,Tahun 1977,7.049
BGD,Tahun 1978,6.042
BGD,Tahun 1979,7.049
BGD,Tahun 1980,0
BGD,Tahun 1981,0
BGD,Tahun 1982,0
BGD,Tahun 1983,0
BGD,Tahun 1984,0
BGD,Tahun 1985,22.154
BGD,Tahun 1986,23.161
BGD,Tahun 1987,25.175
BGD,Tahun 1988,25.175
BGD,Tahun 1989,27.189
BGD,Tahun 1990,19.133
BGD,Tahun 1991,13.091
BGD,Tahun 1992,10.07
BGD,Tahun 1993,7.049
BGD,Tahun 1994,5.035
BGD,Tahun 1995,0
BGD,Tahun 1996,0
BGD,Tahun 1997,0
BGD,Tahun 1998,0
BGD,Tahun 1999,0
BGD,Tahun 2000,0
BGD,Tahun 2001,0
BGD,Tahun 2002,0
BGD,Tahun 2003,0
BGD,Tahun 2004,0
BGD,Tahun 2005,0
BGD,Tahun 2006,0
BGD,Tahun 2007,0
BGD,Tahun 2008,0
BGD,Tahun 2009,0
BGD,Tahun 2010,0
BGD,Tahun 2011,0
BGD,Tahun 2012,0
BGD,Tahun 2013,0
BGD,Tahun 2014,0
BGD,Tahun 2015,0
BLR,Tahun 1990,2054.203
BLR,Tahun 1991,2070.283
BLR,Tahun 1992,2009.984
BLR,Tahun 1993,2015.009
BLR,Tahun 1994,2009.984
BLR,Tahun 1995,1941.644
BLR,Tahun 1996,1869.285
BLR,Tahun 1997,1831.095
BLR,Tahun 1998,1839.135
BLR,Tahun 1999,1849.185
BLR,Tahun 2000,1860.24
BLR,Tahun 2001,1861.245
BLR,Tahun 2002,1855.215
BLR,Tahun 2003,1829.085
BLR,Tahun 2004,1813.005
BLR,Tahun 2005,1793.911
BLR,Tahun 2006,1788.886
BLR,Tahun 2007,1768.786
BLR,Tahun 2008,1748.686
BLR,Tahun 2009,1728.586
BLR,Tahun 2010,1708.486
BLR,Tahun 2011,1690.396
BLR,Tahun 2012,1668.287
BLR,Tahun 2013,1653.212
BLR,Tahun 2014,1653.212
BLR,Tahun 2015,1591.907
BIH,Tahun 1990,0
BIH,Tahun 1991,0
BIH,Tahun 1992,0
BIH,Tahun 1993,0
BIH,Tahun 1994,0
BIH,Tahun 1995,0
BIH,Tahun 1996,0
BIH,Tahun 1997,0
BIH,Tahun 1998,0
BIH,Tahun 1999,0
BIH,Tahun 2000,0
BIH,Tahun 2001,0
BIH,Tahun 2002,0
BIH,Tahun 2003,0
BIH,Tahun 2004,0
BIH,Tahun 2005,0
BIH,Tahun 2006,0
BIH,Tahun 2007,0
BIH,Tahun 2008,0
BIH,Tahun 2009,0
BIH,Tahun 2010,0
BIH,Tahun 2011,0
BIH,Tahun 2012,0
BIH,Tahun 2013,0
BIH,Tahun 2014,0
BIH,Tahun 2015,0
BRA,Tahun 1971,8520.78
BRA,Tahun 1972,8312.906
BRA,Tahun 1973,8453.527
BRA,Tahun 1974,8969.135
BRA,Tahun 1975,8727.634
BRA,Tahun 1976,8472.887
BRA,Tahun 1977,8177.381
BRA,Tahun 1978,8153.944
BRA,Tahun 1979,8418.881
BRA,Tahun 1980,9255.47
BRA,Tahun 1981,10928.649
BRA,Tahun 1982,13337.537
BRA,Tahun 1983,16910.11
BRA,Tahun 1984,23710.838
BRA,Tahun 1985,28079.24
BRA,Tahun 1986,29432.457
BRA,Tahun 1987,29103.323
BRA,Tahun 1988,28447.095
BRA,Tahun 1989,30622.635
BRA,Tahun 1990,32549.542
BRA,Tahun 1991,32116.472
BRA,Tahun 1992,32465.985
BRA,Tahun 1993,33169.086
BRA,Tahun 1994,34445.879
BRA,Tahun 1995,35775.658
BRA,Tahun 1996,40521.087
BRA,Tahun 1997,43589.26
BRA,Tahun 1998,50511.247
BRA,Tahun 1999,56612.497
BRA,Tahun 2000,63849.523
BRA,Tahun 2001,66742.705
BRA,Tahun 2002,75123.973
BRA,Tahun 2003,77579.526
BRA,Tahun 2004,76502.415
BRA,Tahun 2005,84299.229
BRA,Tahun 2006,89113.839
BRA,Tahun 2007,90764.916
BRA,Tahun 2008,94000.854
BRA,Tahun 2009,100920.856
BRA,Tahun 2010,106438.365
BRA,Tahun 2011,108974.94
BRA,Tahun 2012,107016.757
BRA,Tahun 2013,104761.233
BRA,Tahun 2014,116703.803
BRA,Tahun 2015,126126.092
BRN,Tahun 1971,6474.126
BRN,Tahun 1972,9112.376
BRN,Tahun 1973,11406.551
BRN,Tahun 1974,9631.042
BRN,Tahun 1975,8961.269
BRN,Tahun 1976,10214.03
BRN,Tahun 1977,10761.283
BRN,Tahun 1978,11380.005
BRN,Tahun 1979,12514.33
BRN,Tahun 1980,11329.977
BRN,Tahun 1981,8087.516
BRN,Tahun 1982,8314.876
BRN,Tahun 1983,8303.711
BRN,Tahun 1984,7995.408
BRN,Tahun 1985,8493.654
BRN,Tahun 1986,8355.819
BRN,Tahun 1987,7839.196
BRN,Tahun 1988,7574.759
BRN,Tahun 1989,7209.243
BRN,Tahun 1990,7257.229
BRN,Tahun 1991,7707.488
BRN,Tahun 1992,8748.902
BRN,Tahun 1993,8283.329
BRN,Tahun 1994,8407.89
BRN,Tahun 1995,8210.838
BRN,Tahun 1996,7728.929
BRN,Tahun 1997,7542.087
BRN,Tahun 1998,7535.961
BRN,Tahun 1999,8788.721
BRN,Tahun 2000,9674.944
BRN,Tahun 2001,9773.981
BRN,Tahun 2002,10132.35
BRN,Tahun 2003,10340.633
BRN,Tahun 2004,9898.542
BRN,Tahun 2005,10437.627
BRN,Tahun 2006,10512.16
BRN,Tahun 2007,9241.022
